experiment,nodes,clusters,traffic,locality,level,run_name,return_mean,return_std,hit_mean,hit_std,fwd_mean,fwd_std,cloud_mean,cloud_std,div_mean,div_std,comms_mean,comms_std,comms_frac_mean,comms_frac_std
locality,10,3,shifting,0.0,0,dqn_evict_level0_scratch_n10_c3_shifting_loc0.0,3698.6666666666665,171.2991210978296,0.4886333333333333,0.0049466037731850775,0.2617333333333334,0.005986837414046088,0.24963333333333335,0.00993053651901827,10.0,0.0,0.0,0.0,0.0,0.0
locality,10,3,shifting,0.0,1,dqn_evict_level1_scratch_n10_c3_shifting_loc0.0,3953.8333333333335,43.359607419297,0.46456666666666663,0.004903286879453624,0.31083333333333335,0.003727674282385149,0.2246,0.001314026889628472,10.0,0.0,10000.0,0.0,1.0,0.0
locality,10,3,shifting,0.0,2,dqn_evict_level2_scratch_n10_c3_shifting_loc0.0,3830.1666666666665,95.8343478207173,0.4865333333333333,0.005763293811316189,0.2733,0.003050682983639353,0.24016666666666667,0.004676418382575383,10.0,0.0,10000.0,0.0,1.0,0.0
locality,10,3,shifting,0.0,3,dqn_evict_level3_scratch_n10_c3_shifting_loc0.0,3524.8333333333335,114.00462953562699,0.4614666666666667,0.016765904555244127,0.28636666666666666,0.015800914178897642,0.25216666666666665,0.003470190516703981,10.0,0.0,1585.3333333333333,340.1003119995955,0.15853333333333333,0.03401003119995955
locality,10,3,shifting,0.2,0,dqn_evict_level0_scratch_n10_c3_shifting_loc0.2,3792.3333333333335,62.39435515778295,0.4856666666666667,0.005593051244376559,0.2719333333333333,0.006215214307559221,0.24239999999999998,0.003493804039534365,10.0,0.0,0.0,0.0,0.0,0.0
locality,10,3,shifting,0.2,1,dqn_evict_level1_scratch_n10_c3_shifting_loc0.2,3915.8333333333335,94.38602768536359,0.4434666666666667,0.006748991694237656,0.33643333333333336,0.014657042296755806,0.2201,0.008259539938761728,10.0,0.0,10000.0,0.0,1.0,0.0
locality,10,3,shifting,0.2,2,dqn_evict_level2_scratch_n10_c3_shifting_loc0.2,3767.3333333333335,52.11578988709234,0.4849666666666666,0.005757507176625045,0.27120000000000005,0.004257542327055203,0.24383333333333335,0.0015923427883328212,10.0,0.0,10000.0,0.0,1.0,0.0
locality,10,3,shifting,0.2,3,dqn_evict_level3_scratch_n10_c3_shifting_loc0.2,3795.3333333333335,58.509733283351146,0.47986666666666666,0.0071462499878529985,0.2798666666666667,0.007352248333370932,0.24026666666666666,0.00281108915230773,10.0,0.0,497.0,101.90518468982168,0.0497,0.01019051846898217
locality,10,3,shifting,0.3,0,dqn_evict_level0_scratch_loc0.3,3782.8333333333335,107.90608056185816,0.4923666666666666,0.008671921483859379,0.2623666666666667,0.00632999912234504,0.24526666666666666,0.004874650984657486,10.0,0.0,0.0,0.0,0.0,0.0
locality,10,3,shifting,0.3,1,dqn_evict_level1_scratch_loc0.3,4240.0,150.91719583930785,0.4411,0.015897169559390127,0.3612,0.01464604611035575,0.19770000000000001,0.006731022705849882,10.0,0.0,10000.0,0.0,1.0,0.0
locality,10,3,shifting,0.3,2,dqn_evict_level2_scratch_loc0.3,3698.8333333333335,61.84703352268042,0.47576666666666667,0.006461338010728798,0.2789,0.004953786430600337,0.24533333333333332,0.0022291004663067358,10.0,0.0,10000.0,0.0,1.0,0.0
locality,10,3,shifting,0.3,3,dqn_evict_level3_scratch_loc0.3,3510.8333333333335,8.96598510420851,0.44236666666666674,0.0030728199137310657,0.3109,0.003510935297989231,0.24673333333333333,0.00044969125210773047,10.0,0.0,3318.0,347.32981444154774,0.33180000000000004,0.03473298144415478
locality,10,3,shifting,0.4,0,dqn_evict_level0_scratch_n10_c3_shifting_loc0.4,3734.3333333333335,78.79756059393942,0.4932666666666667,0.007904569705064441,0.25793333333333335,0.005983495819520728,0.24880000000000002,0.002969848480983494,10.0,0.0,0.0,0.0,0.0,0.0
locality,10,3,shifting,0.4,1,dqn_evict_level1_scratch_n10_c3_shifting_loc0.4,3949.8333333333335,72.29146253573485,0.45576666666666665,0.005987394165151396,0.32230000000000003,0.007034676017178519,0.22193333333333332,0.00422400547137693,10.0,0.0,10000.0,0.0,1.0,0.0
locality,10,3,shifting,0.4,2,dqn_evict_level2_scratch_n10_c3_shifting_loc0.4,3639.5,80.15713734076752,0.47990000000000005,0.005322280213091619,0.26943333333333336,0.002752372713779084,0.25066666666666665,0.0037240957142491596,10.0,0.0,10000.0,0.0,1.0,0.0
locality,10,3,shifting,0.4,3,dqn_evict_level3_scratch_n10_c3_shifting_loc0.4,3426.0,92.87177540386888,0.45660000000000006,0.003102687007525344,0.28626666666666667,0.0056073364641532055,0.2571333333333334,0.005779465565450002,10.0,0.0,2387.6666666666665,139.53573815414538,0.23876666666666665,0.013953573815414545
locality,10,3,shifting,0.6,0,dqn_evict_level0_scratch_n10_c3_shifting_loc0.6,3616.6666666666665,15.450638246435718,0.4920333333333333,0.00558410442436585,0.2517333333333333,0.006416818180029382,0.25623333333333337,0.0008339997335464557,10.0,0.0,0.0,0.0,0.0,0.0
locality,10,3,shifting,0.6,1,dqn_evict_level1_scratch_n10_c3_shifting_loc0.6,3799.1666666666665,57.29213636171101,0.48003333333333337,0.00697726466620139,0.2799,0.006619667665374142,0.24006666666666665,0.002380942857123809,10.0,0.0,10000.0,0.0,1.0,0.0
locality,10,3,shifting,0.6,2,dqn_evict_level2_scratch_n10_c3_shifting_loc0.6,3558.6666666666665,11.323525167642018,0.47113333333333335,0.003206590435684317,0.27573333333333333,0.003746405684860573,0.2531333333333334,0.0007133644853010804,10.0,0.0,10000.0,0.0,1.0,0.0
locality,10,3,shifting,0.6,3,dqn_evict_level3_scratch_n10_c3_shifting_loc0.6,3368.1666666666665,152.1629243789549,0.4358333333333333,0.00763340611319016,0.3101,0.002785677655436819,0.25406666666666666,0.007726289895904462,10.0,0.0,3351.0,194.62956267398502,0.3351,0.019462956267398527
locality,10,3,shifting,0.8,0,dqn_evict_level0_scratch_n10_c3_shifting_loc0.8,3579.8333333333335,32.39427247043663,0.49056666666666665,0.003483612429010356,0.25123333333333336,0.006798202376772521,0.25820000000000004,0.0033176296759383165,10.0,0.0,0.0,0.0,0.0,0.0
locality,10,3,shifting,0.8,1,dqn_evict_level1_scratch_n10_c3_shifting_loc0.8,3980.6666666666665,69.45062194745911,0.41323333333333334,0.008181415253827153,0.3810666666666667,0.006328945848682514,0.2057,0.001944222209522358,10.0,0.0,10000.0,0.0,1.0,0.0
locality,10,3,shifting,0.8,2,dqn_evict_level2_scratch_n10_c3_shifting_loc0.8,3474.5,75.04332082204252,0.4638,0.000787400787401172,0.2799,0.006020520464766038,0.25630000000000003,0.005256107558513865,10.0,0.0,10000.0,0.0,1.0,0.0
locality,10,3,shifting,0.8,3,dqn_evict_level3_scratch_n10_c3_shifting_loc0.8,3596.6666666666665,46.74457781984511,0.4801333333333333,0.005634023626345751,0.26626666666666665,0.00907389417811094,0.2536,0.004157723736212709,9.666666666666666,0.4714045207910317,326.3333333333333,76.99494932930486,0.032633333333333334,0.007699494932930486
