experiment,nodes,clusters,traffic,locality,level,run_name,return_mean,return_std,hit_mean,hit_std,fwd_mean,fwd_std,cloud_mean,cloud_std,div_mean,div_std,comms_mean,comms_std,comms_frac_mean,comms_frac_std
traffic,10,3,stationary,0.3,0,dqn_evict_level0_scratch_n10_c3_stationary_loc0.3,3755.3333333333335,101.16845138458706,0.49016666666666664,0.0077029575849511004,0.2634666666666667,0.004588633299312072,0.24636666666666665,0.004427439691539826,10.0,0.0,0.0,0.0,0.0,0.0
traffic,10,3,stationary,0.3,1,dqn_evict_level1_scratch_n10_c3_stationary_loc0.3,3822.5,89.85265716716451,0.445,0.021066086489901242,0.32816666666666666,0.0237057423891812,0.22683333333333333,0.004413111776916099,9.666666666666666,0.4714045207910317,10000.0,0.0,1.0,0.0
traffic,10,3,stationary,0.3,2,dqn_evict_level2_scratch_n10_c3_stationary_loc0.3,3725.8333333333335,85.74801585006048,0.4832666666666667,0.00637303346574891,0.2707,0.0037478882943154154,0.24603333333333333,0.003805551500403362,10.0,0.0,10000.0,0.0,1.0,0.0
traffic,10,3,stationary,0.3,3,dqn_evict_level3_scratch_n10_c3_stationary_loc0.3,3611.8333333333335,28.85115056438632,0.46246666666666664,0.004464925033587418,0.29083333333333333,0.004094169295745122,0.2467,0.0005656854249492412,10.0,0.0,786.3333333333334,68.29511126151141,0.07863333333333333,0.0068295111261511415
traffic,10,3,shifting,0.3,0,dqn_evict_level0_scratch_loc0.3,3782.8333333333335,107.90608056185816,0.4923666666666666,0.008671921483859379,0.2623666666666667,0.00632999912234504,0.24526666666666666,0.004874650984657486,10.0,0.0,0.0,0.0,0.0,0.0
traffic,10,3,shifting,0.3,1,dqn_evict_level1_scratch_loc0.3,4240.0,150.91719583930785,0.4411,0.015897169559390127,0.3612,0.01464604611035575,0.19770000000000001,0.006731022705849882,10.0,0.0,10000.0,0.0,1.0,0.0
traffic,10,3,shifting,0.3,2,dqn_evict_level2_scratch_loc0.3,3698.8333333333335,61.84703352268042,0.47576666666666667,0.006461338010728798,0.2789,0.004953786430600337,0.24533333333333332,0.0022291004663067358,10.0,0.0,10000.0,0.0,1.0,0.0
traffic,10,3,shifting,0.3,3,dqn_evict_level3_scratch_loc0.3,3510.8333333333335,8.96598510420851,0.44236666666666674,0.0030728199137310657,0.3109,0.003510935297989231,0.24673333333333333,0.00044969125210773047,10.0,0.0,3318.0,347.32981444154774,0.33180000000000004,0.03473298144415478
traffic,10,3,bursty,0.3,0,dqn_evict_level0_scratch_n10_c3_bursty_loc0.3,3224.3333333333335,65.66370551699181,0.4651666666666667,0.008614845068575268,0.2614,0.012483856241829553,0.27343333333333336,0.00534748123470813,10.0,0.0,0.0,0.0,0.0,0.0
traffic,10,3,bursty,0.3,1,dqn_evict_level1_scratch_n10_c3_bursty_loc0.3,3357.1666666666665,191.02021417175257,0.4255333333333333,0.014702909764925966,0.3231,0.032060255769410205,0.2513666666666667,0.01750815682919124,10.0,0.0,10000.0,0.0,1.0,0.0
traffic,10,3,bursty,0.3,2,dqn_evict_level2_scratch_n10_c3_bursty_loc0.3,3212.1666666666665,27.148767109310057,0.45703333333333335,0.002185304453744519,0.27143333333333336,0.0021076579946049563,0.27153333333333335,0.0014055445761538845,10.0,0.0,10000.0,0.0,1.0,0.0
traffic,10,3,bursty,0.3,3,dqn_evict_level3_scratch_n10_c3_bursty_loc0.3,3078.8333333333335,72.45036615197715,0.43696666666666667,0.00519123192401272,0.28929999999999995,0.011727176414920456,0.27373333333333333,0.006549469868283649,10.0,0.0,2554.0,118.19757470721075,0.2554,0.01181975747072108
