experiment,nodes,clusters,traffic,locality,level,run_name,return_mean,return_std,hit_mean,hit_std,fwd_mean,fwd_std,cloud_mean,cloud_std,div_mean,div_std,comms_mean,comms_std,comms_frac_mean,comms_frac_std
scalability,5,2,shifting,0.3,0,dqn_evict_level0_scratch_n5_c2_shifting_loc0.3,1548.5,47.44997365647319,0.5179999999999999,0.001979898987322324,0.18246666666666667,0.0065774023916909796,0.29953333333333326,0.006287200401521231,5.0,0.0,0.0,0.0,0.0,0.0
scalability,5,2,shifting,0.3,1,dqn_evict_level1_scratch_n5_c2_shifting_loc0.3,1517.8333333333333,41.725957814717155,0.4653333333333334,0.001798765008430945,0.24860000000000002,0.0059352056970813265,0.2860666666666667,0.0055625733453341635,5.0,0.0,5000.0,0.0,1.0,0.0
scalability,5,2,shifting,0.3,2,dqn_evict_level2_scratch_n5_c2_shifting_loc0.3,1455.3333333333333,61.66756756098694,0.48913333333333336,0.004054078878802891,0.20853333333333332,0.00598962065205765,0.30233333333333334,0.007361763073853669,5.0,0.0,5000.0,0.0,1.0,0.0
scalability,5,2,shifting,0.3,3,dqn_evict_level3_scratch_n5_c2_shifting_loc0.3,1459.6666666666667,66.94442139234273,0.48846666666666666,0.00659966329107445,0.21,0.008769644614616181,0.3015333333333334,0.008028836915906442,5.0,0.0,283.6666666666667,63.44201201797504,0.05673333333333333,0.01268840240359501
scalability,10,3,shifting,0.3,0,dqn_evict_level0_scratch_loc0.3,3782.8333333333335,107.90608056185816,0.4923666666666666,0.008671921483859379,0.2623666666666667,0.00632999912234504,0.24526666666666666,0.004874650984657486,10.0,0.0,0.0,0.0,0.0,0.0
scalability,10,3,shifting,0.3,1,dqn_evict_level1_scratch_loc0.3,4240.0,150.91719583930785,0.4411,0.015897169559390127,0.3612,0.01464604611035575,0.19770000000000001,0.006731022705849882,10.0,0.0,10000.0,0.0,1.0,0.0
scalability,10,3,shifting,0.3,2,dqn_evict_level2_scratch_loc0.3,3698.8333333333335,61.84703352268042,0.47576666666666667,0.006461338010728798,0.2789,0.004953786430600337,0.24533333333333332,0.0022291004663067358,10.0,0.0,10000.0,0.0,1.0,0.0
scalability,10,3,shifting,0.3,3,dqn_evict_level3_scratch_loc0.3,3510.8333333333335,8.96598510420851,0.44236666666666674,0.0030728199137310657,0.3109,0.003510935297989231,0.24673333333333333,0.00044969125210773047,10.0,0.0,3318.0,347.32981444154774,0.33180000000000004,0.03473298144415478
scalability,25,5,shifting,0.3,0,dqn_evict_level0_scratch_n25_c5_shifting_loc0.3,11989.0,69.01086870921131,0.47164,0.004654803970093699,0.35752,0.00629132736391933,0.17084000000000002,0.0022831557108528577,25.0,0.0,0.0,0.0,0.0,0.0
scalability,25,5,shifting,0.3,1,dqn_evict_level1_scratch_n25_c5_shifting_loc0.3,12518.5,39.191835884530846,0.43204,0.002650886644124937,0.42444,0.004106320331716292,0.14351999999999998,0.001640812806710949,25.0,0.0,25000.0,0.0,1.0,0.0
scalability,25,5,shifting,0.3,2,dqn_evict_level2_scratch_n25_c5_shifting_loc0.3,12858.5,246.5363394444451,0.45888,0.0025198941776722744,0.39772,0.007354563209327935,0.1434,0.006619808657859122,25.0,0.0,25000.0,0.0,1.0,0.0
scalability,25,5,shifting,0.3,3,dqn_evict_level3_scratch_n25_c5_shifting_loc0.3,11170.5,154.74064322816636,0.40227999999999997,0.002894039852294134,0.42817333333333335,0.003012035118579404,0.16954666666666665,0.003499536477243181,25.0,0.0,0.0,0.0,0.0,0.0
scalability,50,10,shifting,0.3,0,dqn_evict_level0_scratch_n50_c10_shifting_loc0.3,24061.166666666668,102.69804715226522,0.4635666666666667,0.002678025806862609,0.3693933333333333,0.004845378095555493,0.16704,0.0022102186920453593,49.666666666666664,0.4714045207910317,0.0,0.0,0.0,0.0
scalability,50,10,shifting,0.3,1,dqn_evict_level1_scratch_n50_c10_shifting_loc0.3,26350.5,113.71308924950841,0.44301999999999997,0.005484693853504204,0.4273133333333334,0.008477064481424112,0.12966666666666668,0.0031083686325073436,49.666666666666664,0.4714045207910317,50000.0,0.0,1.0,0.0
scalability,50,10,shifting,0.3,2,dqn_evict_level2_scratch_n50_c10_shifting_loc0.3,26951.666666666668,341.78363851354203,0.42496666666666666,0.005618358795551925,0.45940000000000003,0.003595812379235967,0.11563333333333332,0.0028785335772847187,50.0,0.0,50000.0,0.0,1.0,0.0
scalability,50,10,shifting,0.3,3,dqn_evict_level3_scratch_n50_c10_shifting_loc0.3,23543.666666666668,114.67369164527474,0.4368666666666667,0.00445008863831822,0.39809333333333335,0.0053281725030466486,0.16504,0.0014998666607402085,49.666666666666664,0.4714045207910317,5026.666666666667,214.4548644561109,0.10053333333333332,0.004289097289122215
